;;;;;;;тел.:+7 (995) 168-15-15;;;;
;;;;;;;mir-podokonnikov@mail.ru;;;;
Прайс-лист · Откосные системы;;;;;;;От 27.02.2026;;;;
;;;;;;;;;;;
Откосные системы · Кристаллит/Эстера;;;;;;;;;;;
"Сэндвич-панели в нарезку под заказ длина 1/1,3/1,5/1,7/2/2,5 м; ширина до 700 мм, шаг 50 мм.";;;;;;;;;Цена, руб/м²;6 320 ₽;
Цвета (входят в группу);;;;;;;;;;;
Белый глянцевый;;;Белый матовый;;Дуб натуральный матовый;;;;Золотой дуб матовый;;
Орех матовый;;;Венге матовый;;Антрацит матовый;;;;;;
Отпускные цены (руб/шт) ;;;;;;;;;;;
Ширина, мм;1,0;1,3;1,5;1,7;2,0;2,5;;;;;
100; 632 ₽; 822 ₽; 948 ₽;1 074 ₽;1 264 ₽;1 580 ₽;;;;;
150; 948 ₽;1 232 ₽;1 422 ₽;1 612 ₽;1 896 ₽;2 370 ₽;;;;;
200;1 264 ₽;1 643 ₽;1 896 ₽;2 149 ₽;2 528 ₽;3 160 ₽;;;;;
250;1 580 ₽;2 054 ₽;2 370 ₽;2 686 ₽;3 160 ₽;3 950 ₽;;;;;
300;1 896 ₽;2 465 ₽;2 844 ₽;3 223 ₽;3 792 ₽;4 740 ₽;;;;;
350;2 212 ₽;2 876 ₽;3 318 ₽;3 760 ₽;4 424 ₽;5 530 ₽;;;;;
400;2 528 ₽;3 286 ₽;3 792 ₽;4 298 ₽;5 056 ₽;6 320 ₽;;;;;
450;2 844 ₽;3 697 ₽;4 266 ₽;4 835 ₽;5 688 ₽;7 110 ₽;;;;;
500;3 160 ₽;4 108 ₽;4 740 ₽;5 372 ₽;6 320 ₽;7 900 ₽;;;;;
550;3 476 ₽;4 519 ₽;5 214 ₽;5 909 ₽;6 952 ₽;8 690 ₽;;;;;
600;3 792 ₽;4 930 ₽;5 688 ₽;6 446 ₽;7 584 ₽;9 480 ₽;;;;;
650;4 108 ₽;5 340 ₽;6 162 ₽;6 984 ₽;8 216 ₽;10 270 ₽;;;;;
700;4 424 ₽;5 751 ₽;6 636 ₽;7 521 ₽;8 848 ₽;11 060 ₽;;;;;
;;;;;;;;;;;
Откосы · Витраж Дизайн;;;;;;;;;;;
"Сэндвич-панели в нарезку под заказ длина 1/1,3/1,5/1,7/2/2,5 м; ширина до 700 мм, шаг 50 мм.";;;;;;;;;Цена, руб/м²;6 000 ₽;
Цвета (входят в группу);;;;;;;;;;;
Сэндвич-панель (белый Дизайн);;Сэндвич-панель (антрацит Дизайн);;Сэндвич-панель (светло серый Дизайн);;Сэндвич-панель (серый Дизайн);;;;;
Сэндвич-панель (скандинавский синий Дизайн);;Сэндвич-панель (черный Дизайн);;Сэндвич-панель (Сияющий белый);;Сэндвич-панель (серый Дизайн);;;;;
Отпускные цены (руб/шт) ;;;;;;;;;;;
Ширина, мм;1,0;1,3;1,5;1,7;2,0;2,5;;;;;
100; 600 ₽; 780 ₽; 900 ₽;1 020 ₽;1 200 ₽;1 500 ₽;;;;;
150; 900 ₽;1 170 ₽;1 350 ₽;1 530 ₽;1 800 ₽;2 250 ₽;;;;;
200;1 200 ₽;1 560 ₽;1 800 ₽;2 040 ₽;2 400 ₽;3 000 ₽;;;;;
250;1 500 ₽;1 950 ₽;2 250 ₽;2 550 ₽;3 000 ₽;3 750 ₽;;;;;
300;1 800 ₽;2 340 ₽;2 700 ₽;3 060 ₽;3 600 ₽;4 500 ₽;;;;;
350;2 100 ₽;2 730 ₽;3 150 ₽;3 570 ₽;4 200 ₽;5 250 ₽;;;;;
